 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5400   5.8620   7.7957   0.1301   1.1420  0.40671E+05  0.40657E+05  0.14092E+02  0.47290E+05  0.15151E+02  0.82458E+03  0.46451E+05  0.10002E+01
   10.5400   5.6060   8.1879   0.1301   1.2046  0.31916E+05  0.31906E+05  0.98222E+01  0.37620E+05  0.13898E+02  0.66995E+03  0.36937E+05  0.10002E+01
   10.5400   5.3350   8.6203   0.1301   1.2704  0.24819E+05  0.24812E+05  0.67892E+01  0.29710E+05  0.12781E+02  0.54854E+03  0.29149E+05  0.10003E+01
   10.5400   5.0500   9.1006   0.1301   1.3400  0.19115E+05  0.19110E+05  0.46549E+01  0.23284E+05  0.11733E+02  0.45292E+03  0.22820E+05  0.10004E+01
   10.5400   4.7490   9.6391   0.1301   1.4133  0.14559E+05  0.14556E+05  0.31612E+01  0.18094E+05  0.10784E+02  0.37767E+03  0.17705E+05  0.10005E+01
   10.5400   4.4320  10.2492   0.1301   1.4908  0.10954E+05  0.10952E+05  0.21249E+01  0.13933E+05  0.99055E+01  0.31842E+03  0.13604E+05  0.10006E+01
   10.5400   4.0970  10.9495   0.1300   1.5723  0.81238E+04  0.81224E+04  0.14112E+01  0.10622E+05  0.91199E+01  0.27222E+03  0.10341E+05  0.10007E+01
   10.5400   3.7440  11.7661   0.1300   1.6583  0.59259E+04  0.59250E+04  0.92442E+00  0.80099E+04  0.83983E+01  0.23622E+03  0.77653E+04  0.10008E+01
   10.5400   3.3720  12.7374   0.1300   1.7493  0.42375E+04  0.42369E+04  0.59563E+00  0.59678E+04  0.77375E+01  0.20841E+03  0.57517E+04  0.10009E+01
   10.5400   2.9790  13.9224   0.1300   1.8448  0.29563E+04  0.29559E+04  0.37595E+00  0.43884E+04  0.71589E+01  0.18779E+03  0.41935E+04  0.10011E+01
   10.5400   2.5650  15.4182   0.1300   1.9459  0.19981E+04  0.19979E+04  0.23098E+00  0.31807E+04  0.66341E+01  0.17327E+03  0.30008E+04  0.10013E+01
   10.5400   2.1280  17.3984   0.1300   2.0523  0.12933E+04  0.12931E+04  0.13668E+00  0.22693E+04  0.61864E+01  0.16445E+03  0.20986E+04  0.10014E+01
   10.5400   1.6670  20.2141   0.1300   2.1644  0.78502E+03  0.78495E+03  0.76390E-01  0.15893E+04  0.58227E+01  0.16119E+03  0.14223E+04  0.10017E+01
   10.5400   1.1810  24.7272   0.1300   2.2827  0.42765E+03  0.42761E+03  0.38634E-01  0.10835E+04  0.55769E+01  0.16329E+03  0.91459E+03  0.10019E+01
   10.5400   0.6690  33.9881   0.1301   2.4094  0.18449E+03  0.18447E+03  0.15613E-01  0.66854E+03  0.56645E+01  0.16563E+03  0.49724E+03  0.10021E+01
   10.5400   0.1280  86.6338   0.1300   2.5398  0.26393E+02  0.26391E+02  0.21240E-02  0.25032E+03  0.85975E+02  0.71217E+02  0.93133E+02  0.10112E+01
   10.5400   6.8970   6.8128   0.1502   1.0266  0.86674E+05  0.86624E+05  0.50386E+02  0.93693E+05  0.75133E+01  0.14833E+04  0.92202E+05  0.10004E+01
   10.5400   6.6980   7.1007   0.1502   1.0829  0.70185E+05  0.70149E+05  0.36102E+02  0.76479E+05  0.68567E+01  0.11760E+04  0.75297E+05  0.10005E+01
   10.5400   6.4870   7.4103   0.1502   1.1421  0.56506E+05  0.56480E+05  0.25691E+02  0.62125E+05  0.62783E+01  0.93510E+03  0.61183E+05  0.10006E+01
   10.5400   6.2650   7.7447   0.1502   1.2047  0.45221E+05  0.45203E+05  0.18167E+02  0.50199E+05  0.57402E+01  0.74617E+03  0.49447E+05  0.10007E+01
   10.5400   6.0300   8.1075   0.1501   1.2705  0.35946E+05  0.35933E+05  0.12753E+02  0.40334E+05  0.52615E+01  0.59844E+03  0.39730E+05  0.10007E+01
   10.5400   5.7830   8.5033   0.1501   1.3401  0.28368E+05  0.28359E+05  0.88911E+01  0.32208E+05  0.48113E+01  0.48253E+03  0.31721E+05  0.10008E+01
   10.5400   5.5220   8.9375   0.1501   1.4133  0.22210E+05  0.22204E+05  0.61499E+01  0.25550E+05  0.44071E+01  0.39188E+03  0.25154E+05  0.10009E+01
   10.5400   5.2470   9.4174   0.1501   1.4907  0.17237E+05  0.17233E+05  0.42187E+01  0.20123E+05  0.40338E+01  0.32097E+03  0.19798E+05  0.10010E+01
   10.5400   4.9570   9.9519   0.1501   1.5723  0.13248E+05  0.13245E+05  0.28681E+01  0.15725E+05  0.36933E+01  0.26530E+03  0.15456E+05  0.10011E+01
   10.5400   4.6510  10.5531   0.1501   1.6583  0.10072E+05  0.10070E+05  0.19306E+01  0.12184E+05  0.33836E+01  0.22171E+03  0.11959E+05  0.10012E+01
   10.5400   4.3290  11.2369   0.1501   1.7494  0.75646E+04  0.75633E+04  0.12853E+01  0.93531E+04  0.30951E+01  0.18763E+03  0.91624E+04  0.10013E+01
