 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5400   5.8620   7.7957   0.1301   1.1420  0.11100E+05  0.11095E+05  0.45562E+01  0.12998E+05  0.35545E+01  0.26277E+03  0.12732E+05  0.99996E+00
   10.5400   5.6060   8.1879   0.1301   1.2046  0.87266E+04  0.87235E+04  0.31747E+01  0.10359E+05  0.32481E+01  0.21358E+03  0.10142E+05  0.99999E+00
   10.5400   5.3350   8.6203   0.1301   1.2704  0.67996E+04  0.67974E+04  0.21937E+01  0.81973E+04  0.29778E+01  0.17595E+03  0.80183E+04  0.10000E+01
   10.5400   5.0500   9.1006   0.1301   1.3400  0.52480E+04  0.52465E+04  0.15037E+01  0.64369E+04  0.27237E+01  0.14444E+03  0.62897E+04  0.10001E+01
   10.5400   4.7490   9.6391   0.1301   1.4133  0.40066E+04  0.40055E+04  0.10210E+01  0.50138E+04  0.24949E+01  0.12049E+03  0.48908E+04  0.10001E+01
   10.5400   4.4320  10.2492   0.1301   1.4908  0.30221E+04  0.30214E+04  0.68619E+00  0.38710E+04  0.22830E+01  0.10164E+03  0.37671E+04  0.10001E+01
   10.5400   4.0970  10.9495   0.1300   1.5723  0.22478E+04  0.22473E+04  0.45566E+00  0.29603E+04  0.20952E+01  0.86954E+02  0.28713E+04  0.10002E+01
   10.5400   3.7440  11.7661   0.1300   1.6583  0.16450E+04  0.16447E+04  0.29848E+00  0.22368E+04  0.19227E+01  0.75522E+02  0.21594E+04  0.10002E+01
   10.5400   3.3720  12.7374   0.1300   1.7493  0.11809E+04  0.11807E+04  0.19232E+00  0.16764E+04  0.17647E+01  0.66705E+02  0.16079E+04  0.10003E+01
   10.5400   2.9790  13.9224   0.1300   1.8448  0.82763E+03  0.82751E+03  0.12140E+00  0.12396E+04  0.16273E+01  0.60198E+02  0.11778E+04  0.10003E+01
   10.5400   2.5650  15.4182   0.1300   1.9459  0.56255E+03  0.56248E+03  0.74596E-01  0.90482E+03  0.15023E+01  0.55652E+02  0.84766E+03  0.10004E+01
   10.5400   2.1280  17.3984   0.1300   2.0523  0.36668E+03  0.36664E+03  0.44153E-01  0.65152E+03  0.13960E+01  0.52959E+02  0.59716E+03  0.10004E+01
   10.5400   1.6670  20.2141   0.1300   2.1644  0.22460E+03  0.22458E+03  0.24684E-01  0.46205E+03  0.13095E+01  0.52101E+02  0.40864E+03  0.10004E+01
   10.5400   1.1810  24.7272   0.1300   2.2827  0.12381E+03  0.12380E+03  0.12490E-01  0.32039E+03  0.12504E+01  0.53068E+02  0.26607E+03  0.10004E+01
   10.5400   0.6690  33.9881   0.1301   2.4094  0.54276E+02  0.54271E+02  0.50516E-02  0.20184E+03  0.13568E+01  0.54188E+02  0.14629E+03  0.10001E+01
   10.5400   0.1280  86.6338   0.1300   2.5398  0.80174E+01  0.80167E+01  0.69506E-03  0.60542E+02  0.82197E+01  0.23306E+02  0.29016E+02  0.99804E+00
   10.5400   6.8970   6.8128   0.1502   1.0266  0.23649E+05  0.23632E+05  0.16322E+02  0.25749E+05  0.13023E+01  0.47223E+03  0.25275E+05  0.10001E+01
   10.5400   6.6980   7.1007   0.1502   1.0829  0.19190E+05  0.19178E+05  0.11690E+02  0.21054E+05  0.11809E+01  0.37438E+03  0.20678E+05  0.10001E+01
   10.5400   6.4870   7.4103   0.1502   1.1421  0.15482E+05  0.15473E+05  0.83160E+01  0.17131E+05  0.10759E+01  0.29766E+03  0.16833E+05  0.10002E+01
   10.5400   6.2650   7.7447   0.1502   1.2047  0.12415E+05  0.12410E+05  0.58788E+01  0.13868E+05  0.97830E+00  0.23754E+03  0.13629E+05  0.10002E+01
   10.5400   6.0300   8.1075   0.1501   1.2705  0.98894E+04  0.98853E+04  0.41259E+01  0.11163E+05  0.89258E+00  0.19051E+03  0.10972E+05  0.10002E+01
   10.5400   5.7830   8.5033   0.1501   1.3401  0.78215E+04  0.78186E+04  0.28758E+01  0.89317E+04  0.81195E+00  0.15363E+03  0.87772E+04  0.10003E+01
   10.5400   5.5220   8.9375   0.1501   1.4133  0.61372E+04  0.61352E+04  0.19888E+01  0.71001E+04  0.74024E+00  0.12480E+03  0.69746E+04  0.10003E+01
   10.5400   5.2470   9.4174   0.1501   1.4907  0.47741E+04  0.47728E+04  0.13641E+01  0.56041E+04  0.67426E+00  0.10224E+03  0.55011E+04  0.10003E+01
   10.5400   4.9570   9.9519   0.1501   1.5723  0.36786E+04  0.36776E+04  0.92737E+00  0.43897E+04  0.61440E+00  0.84536E+02  0.43045E+04  0.10004E+01
   10.5400   4.6510  10.5531   0.1501   1.6583  0.28042E+04  0.28036E+04  0.62422E+00  0.34100E+04  0.56032E+00  0.70749E+02  0.33387E+04  0.10004E+01
   10.5400   4.3290  11.2369   0.1501   1.7494  0.21124E+04  0.21119E+04  0.41562E+00  0.26252E+04  0.50993E+00  0.59850E+02  0.25648E+04  0.10005E+01
   10.5400   3.9880  12.0254   0.1500   1.8448  0.15692E+04  0.15689E+04  0.27323E+00  0.20016E+04  0.46697E+00  0.51500E+02  0.19496E+04  0.10006E+01
