 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5400   5.8620   7.7957   0.1301   1.1420  0.19816E+04  0.19808E+04  0.82290E+00  0.22921E+04  0.22185E+01  0.41812E+02  0.22480E+04  0.99996E+00
   10.5400   5.6060   8.1879   0.1301   1.2046  0.15593E+04  0.15587E+04  0.57323E+00  0.18243E+04  0.20382E+01  0.33973E+02  0.17883E+04  0.99997E+00
   10.5400   5.3350   8.6203   0.1301   1.2704  0.12160E+04  0.12156E+04  0.39600E+00  0.14413E+04  0.18760E+01  0.27827E+02  0.14116E+04  0.99998E+00
   10.5400   5.0500   9.1006   0.1301   1.3400  0.93934E+03  0.93907E+03  0.27139E+00  0.11301E+04  0.17248E+01  0.22990E+02  0.11054E+04  0.99999E+00
   10.5400   4.7490   9.6391   0.1301   1.4133  0.71777E+03  0.71759E+03  0.18423E+00  0.87854E+03  0.15872E+01  0.19180E+02  0.85777E+03  0.10000E+01
   10.5400   4.4320  10.2492   0.1301   1.4908  0.54192E+03  0.54179E+03  0.12380E+00  0.67683E+03  0.14604E+01  0.16184E+02  0.65918E+03  0.10000E+01
   10.5400   4.0970  10.9495   0.1300   1.5723  0.40346E+03  0.40338E+03  0.82198E-01  0.51624E+03  0.13465E+01  0.13853E+02  0.50104E+03  0.10000E+01
   10.5400   3.7440  11.7661   0.1300   1.6583  0.29559E+03  0.29554E+03  0.53839E-01  0.38951E+03  0.12421E+01  0.12042E+02  0.37623E+03  0.10000E+01
   10.5400   3.3720  12.7374   0.1300   1.7493  0.21245E+03  0.21241E+03  0.34690E-01  0.29044E+03  0.11469E+01  0.10647E+02  0.27864E+03  0.10000E+01
   10.5400   2.9790  13.9224   0.1300   1.8448  0.14910E+03  0.14908E+03  0.21897E-01  0.21383E+03  0.10633E+01  0.96245E+01  0.20314E+03  0.10001E+01
   10.5400   2.5650  15.4182   0.1300   1.9459  0.10151E+03  0.10150E+03  0.13456E-01  0.15523E+03  0.98838E+00  0.89157E+01  0.14533E+03  0.10001E+01
   10.5400   2.1280  17.3984   0.1300   2.0523  0.66300E+02  0.66292E+02  0.79648E-02  0.11101E+03  0.92528E+00  0.85099E+01  0.10157E+03  0.10001E+01
   10.5400   1.6670  20.2141   0.1300   2.1644  0.40712E+02  0.40708E+02  0.44532E-02  0.78030E+02  0.87749E+00  0.84081E+01  0.68745E+02  0.10001E+01
   10.5400   1.1810  24.7272   0.1300   2.2827  0.22515E+02  0.22513E+02  0.22535E-02  0.53525E+02  0.85966E+00  0.86214E+01  0.44044E+02  0.10000E+01
   10.5400   0.6690  33.9881   0.1301   2.4094  0.99118E+01  0.99109E+01  0.91149E-03  0.33560E+02  0.89086E+00  0.89880E+01  0.23681E+02  0.99981E+00
   10.5400   0.1280  86.6338   0.1300   2.5398  0.14732E+01  0.14731E+01  0.12545E-03  0.18699E+02  0.95069E+01  0.43247E+01  0.48672E+01  0.99768E+00
   10.5400   6.8970   6.8128   0.1502   1.0266  0.42251E+04  0.42222E+04  0.29566E+01  0.46006E+04  0.14437E+01  0.75313E+02  0.45238E+04  0.10000E+01
   10.5400   6.6980   7.1007   0.1502   1.0829  0.34324E+04  0.34303E+04  0.21170E+01  0.37603E+04  0.13207E+01  0.59688E+02  0.36992E+04  0.10000E+01
   10.5400   6.4870   7.4103   0.1502   1.1421  0.27722E+04  0.27706E+04  0.15055E+01  0.30582E+04  0.12111E+01  0.47441E+02  0.30095E+04  0.10000E+01
   10.5400   6.2650   7.7447   0.1502   1.2047  0.22255E+04  0.22244E+04  0.10640E+01  0.24741E+04  0.11095E+01  0.37843E+02  0.24352E+04  0.10000E+01
   10.5400   6.0300   8.1075   0.1501   1.2705  0.17744E+04  0.17737E+04  0.74658E+00  0.19899E+04  0.10183E+01  0.30341E+02  0.19586E+04  0.10000E+01
   10.5400   5.7830   8.5033   0.1501   1.3401  0.14048E+04  0.14043E+04  0.52027E+00  0.15907E+04  0.93295E+00  0.24461E+02  0.15653E+04  0.10000E+01
   10.5400   5.5220   8.9375   0.1501   1.4133  0.11034E+04  0.11030E+04  0.35975E+00  0.12631E+04  0.85590E+00  0.19867E+02  0.12423E+04  0.10001E+01
   10.5400   5.2470   9.4174   0.1501   1.4907  0.85915E+03  0.85890E+03  0.24672E+00  0.99561E+03  0.78484E+00  0.16277E+02  0.97855E+03  0.10001E+01
   10.5400   4.9570   9.9519   0.1501   1.5723  0.66265E+03  0.66248E+03  0.16772E+00  0.77866E+03  0.71991E+00  0.13456E+02  0.76448E+03  0.10001E+01
   10.5400   4.6510  10.5531   0.1501   1.6583  0.50566E+03  0.50555E+03  0.11289E+00  0.60382E+03  0.66076E+00  0.11250E+02  0.59191E+03  0.10001E+01
   10.5400   4.3290  11.2369   0.1501   1.7494  0.38132E+03  0.38124E+03  0.75162E-01  0.46393E+03  0.60591E+00  0.95330E+01  0.45379E+03  0.10001E+01
   10.5400   3.9880  12.0254   0.1500   1.8448  0.28358E+03  0.28353E+03  0.49415E-01  0.35287E+03  0.55785E+00  0.82052E+01  0.34410E+03  0.10001E+01
   10.5400   3.6290  12.9503   0.1500   1.9458  0.20756E+03  0.20752E+03  0.32018E-01  0.26542E+03  0.51356E+00  0.71890E+01  0.25772E+03  0.10001E+01
   10.5400   3.2510  14.0586   0.1501   2.0527  0.14902E+03  0.14900E+03  0.20380E-01  0.19721E+03  0.47292E+00  0.64238E+01  0.19032E+03  0.10002E+01
   10.5400   2.8510  15.4240   0.1500   2.1645  0.10444E+03  0.10443E+03  0.12689E-01  0.14459E+03  0.43828E+00  0.58949E+01  0.13826E+03  0.10002E+01
   10.5400   2.4300  17.1709   0.1500   2.2832  0.70931E+02  0.70924E+02  0.76677E-02  0.10444E+03  0.40697E+00  0.55671E+01  0.98463E+02  0.10002E+01
   10.5400   1.9860  19.5292   0.1500   2.4084  0.46088E+02  0.46083E+02  0.44405E-02  0.74183E+02  0.38049E+00  0.54467E+01  0.68355E+02  0.10002E+01
   10.5400   1.5170  22.9885   0.1500   2.5396  0.27957E+02  0.27955E+02  0.24063E-02  0.51713E+02  0.36228E+00  0.55653E+01  0.45785E+02  0.10003E+01
   10.5400   1.0230  28.8638   0.1500   2.6790  0.14959E+02  0.14958E+02  0.11512E-02  0.34996E+02  0.36187E+00  0.59450E+01  0.28690E+02  0.10004E+01
   10.5400   0.5020  42.8753   0.1501   2.8272  0.58264E+01  0.58260E+01  0.40087E-03  0.20829E+02  0.39959E+00  0.63686E+01  0.14061E+02  0.10006E+01
   10.5400   7.3270   6.6099   0.1703   1.0267  0.52749E+04  0.52704E+04  0.44837E+01  0.55737E+04  0.79649E+00  0.87901E+02  0.54850E+04  0.10001E+01
   10.5400   7.1510   6.8719   0.1703   1.0829  0.43299E+04  0.43266E+04  0.32493E+01  0.45960E+04  0.72624E+00  0.69052E+02  0.45262E+04  0.10001E+01
   10.5400   6.9650   7.1514   0.1703   1.1422  0.35389E+04  0.35365E+04  0.23403E+01  0.37756E+04  0.66300E+00  0.54336E+02  0.37206E+04  0.10001E+01
   10.5400   6.7690   7.4505   0.1702   1.2047  0.28789E+04  0.28772E+04  0.16753E+01  0.30888E+04  0.60522E+00  0.42823E+02  0.30453E+04  0.10001E+01
   10.5400   6.5620   7.7718   0.1702   1.2706  0.23296E+04  0.23284E+04  0.11914E+01  0.25152E+04  0.55292E+00  0.33844E+02  0.24808E+04  0.10001E+01
   10.5400   6.3440   8.1183   0.1702   1.3402  0.18745E+04  0.18737E+04  0.84164E+00  0.20380E+04  0.50483E+00  0.26845E+02  0.20107E+04  0.10001E+01
   10.5400   6.1140   8.4936   0.1702   1.4135  0.14989E+04  0.14983E+04  0.59044E+00  0.16424E+04  0.46109E+00  0.21393E+02  0.16206E+04  0.10001E+01
   10.5400   5.8710   8.9022   0.1702   1.4908  0.11904E+04  0.11900E+04  0.41113E+00  0.13157E+04  0.42159E+00  0.17152E+02  0.12981E+04  0.10001E+01
   10.5400   5.6150   9.3496   0.1701   1.5724  0.93847E+03  0.93818E+03  0.28409E+00  0.10473E+04  0.38530E+00  0.13847E+02  0.10330E+04  0.10001E+01
   10.5400   5.3450   9.8427   0.1701   1.6585  0.73392E+03  0.73372E+03  0.19469E+00  0.82785E+03  0.35222E+00  0.11277E+02  0.81622E+03  0.10001E+01
   10.5400   5.0600  10.3904   0.1701   1.7491  0.56888E+03  0.56874E+03  0.13224E+00  0.64953E+03  0.32226E+00  0.92700E+01  0.63994E+03  0.10002E+01
   10.5400   4.7600  11.0043   0.1701   1.8450  0.43667E+03  0.43658E+03  0.88960E-01  0.50548E+03  0.29454E+00  0.77038E+01  0.49748E+03  0.10002E+01
   10.5400   4.4430  11.6997   0.1701   1.9459  0.33152E+03  0.33146E+03  0.59206E-01  0.38991E+03  0.26974E+00  0.64949E+01  0.38314E+03  0.10002E+01
   10.5400   4.1090  12.4976   0.1701   2.0524  0.24859E+03  0.24855E+03  0.38932E-01  0.29786E+03  0.24705E+00  0.55545E+01  0.29205E+03  0.10002E+01
   10.5400   3.7570  13.4276   0.1701   2.1649  0.18374E+03  0.18372E+03  0.25244E-01  0.22512E+03  0.22637E+00  0.48412E+01  0.22005E+03  0.10002E+01
   10.5400   3.3850  14.5332   0.1700   2.2832  0.13350E+03  0.13348E+03  0.16101E-01  0.16814E+03  0.20820E+00  0.43112E+01  0.16363E+03  0.10003E+01
   10.5400   2.9930  15.8812   0.1700   2.4082  0.94972E+02  0.94962E+02  0.10060E-01  0.12394E+03  0.19180E+00  0.39384E+01  0.11981E+03  0.10003E+01
   10.5400   2.5800  17.5813   0.1701   2.5404  0.65750E+02  0.65744E+02  0.61179E-02  0.89984E+02  0.17707E+00  0.37082E+01  0.86099E+02  0.10003E+01
   10.5400   2.1440  19.8289   0.1701   2.6797  0.43848E+02  0.43845E+02  0.35852E-02  0.64256E+02  0.16465E+00  0.36266E+01  0.60464E+02  0.10004E+01
   10.5400   1.6840  23.0183   0.1701   2.8264  0.27641E+02  0.27639E+02  0.19859E-02  0.45005E+02  0.15484E+00  0.37122E+01  0.41138E+02  0.10005E+01
   10.5400   1.1980  28.1120   0.1699   2.9792  0.15814E+02  0.15813E+02  0.99907E-03  0.30794E+02  0.15100E+00  0.40183E+01  0.26625E+02  0.10007E+01
   10.5400   0.6870  38.4765   0.1701   3.1446  0.72998E+01  0.72993E+01  0.40387E-03  0.19865E+02  0.16619E+00  0.45503E+01  0.15148E+02  0.10012E+01
