EXTERNAL/TSAI:  VERSION OF 8/8/96

RUNPLAN for CLAS hadronization experiment                               
 inclusive:                                                             
                                                                        
CLAS ALUMINUM                                                           
                                                                        

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = ( 13, 27);   avgA =  27.000; amuM= 26.978; avgM= 25.130
 targ= ordina; ttarg(rl)=0.01315; twall=0.00129; tbeam=0.00264; tspec=0.00000
         Nseg  =   2
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 1
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

   8.016  0.411  3.67    1.19  -11.08    1.01    0.00  -10.07 3.020E+03

  10.540  9.017  2.05    0.85   -7.28    0.71    0.00   -6.57  0.883
   7.878  0.411  3.82    1.10  -10.63    0.92    0.00   -9.71 2.469E+03

  10.540  9.349  2.16    0.79   -6.93    0.65    0.00   -6.28  0.875
   7.732  0.411  3.98    1.02  -10.18    0.84    0.00   -9.35 2.015E+03

  10.540  9.699  2.28    0.73   -6.59    0.59    0.00   -6.00  0.868
   7.578  0.411  4.16    0.95   -9.74    0.76    0.00   -8.98 1.642E+03

  10.540 10.071  2.41    0.68   -6.25    0.54    0.00   -5.71  0.860
   7.415  0.411  4.34    0.88   -9.30    0.70    0.00   -8.60 1.336E+03

  10.540 10.465  2.54    0.64   -5.91    0.49    0.00   -5.42  0.853
   7.244  0.411  4.53    0.83   -8.87    0.64    0.00   -8.23 1.085E+03

  10.540 10.886  2.68    0.61   -5.57    0.45    0.00   -5.12  0.845
   7.063  0.411  4.73    0.78   -8.43    0.59    0.00   -7.84 8.792E+02

  10.540 11.335  2.83    0.58   -5.22    0.41    0.00   -4.81  0.837
   6.872  0.411  4.94    0.74   -7.98    0.54    0.00   -7.44 7.109E+02

  10.540 11.817  2.98    0.55   -4.86    0.38    0.00   -4.48  0.828
   6.671  0.410  5.16    0.70   -7.51    0.50    0.00   -7.02 5.733E+02

  10.540 12.336  3.14    0.53   -4.49    0.35    0.00   -4.14  0.820
   6.459  0.410  5.40    0.68   -7.03    0.46    0.00   -6.57 4.609E+02

  10.540 12.897  3.32    0.52   -4.09    0.33    0.00   -3.76  0.812
   6.235  0.410  5.64    0.66   -6.52    0.43    0.00   -6.09 3.692E+02

  10.540 13.506  3.50    0.52   -3.67    0.31    0.00   -3.36  0.805
   5.999  0.410  5.90    0.65   -5.98    0.41    0.00   -5.56 2.945E+02

  10.540 14.171  3.69    0.52   -3.22    0.30    0.00   -2.92  0.798
   5.750  0.410  6.18    0.65   -5.39    0.39    0.00   -5.00 2.338E+02

  10.540 14.901  3.89    0.54   -2.73    0.29    0.00   -2.44  0.791
   5.487  0.410  6.47    0.66   -4.76    0.38    0.00   -4.38 1.846E+02

  10.540 15.710  4.10    0.56   -2.22    0.29    0.00   -1.93  0.785
   5.211  0.410  6.78    0.68   -4.10    0.38    0.00   -3.71 1.447E+02

  10.540 16.613  4.33    0.59   -1.64    0.29    0.00   -1.35  0.779
   4.918  0.410  7.10    0.72   -3.35    0.39    0.00   -2.97 1.128E+02

  10.540 17.630  4.56    0.65   -1.02    0.30    0.00   -0.72  0.774
   4.610  0.410  7.44    0.78   -2.55    0.40    0.00   -2.15 8.711E+01

  10.540 18.790  4.81    0.72   -0.34    0.33    0.00   -0.01  0.770
   4.285  0.410  7.80    0.87   -1.67    0.43    0.00   -1.24 6.665E+01

  10.540 20.132  5.08    0.83    0.41    0.36    0.00    0.77  0.767
   3.943  0.410  8.18    0.99   -0.69    0.48    0.00   -0.21 5.039E+01

  10.540 21.712  5.36    0.98    1.27    0.42    0.00    1.69  0.767
   3.581  0.410  8.58    1.17    0.43    0.56    0.00    0.99 3.761E+01

  10.540 23.615  5.65    1.20    2.27    0.52    0.00    2.79  0.769
   3.200  0.410  9.01    1.44    1.74    0.69    0.00    2.43 2.759E+01

  10.540 25.976  5.96    1.53    3.48    0.70    0.00    4.18  0.773
   2.798  0.410  9.45    1.86    3.33    0.92    0.00    4.25 1.979E+01

  10.540 29.025  6.29    2.10    5.05    1.05    0.00    6.10  0.782
   2.374  0.410  9.92    2.59    5.38    1.38    0.00    6.76 1.377E+01

  10.540 33.199  6.63    3.17    7.27    1.81    0.00    9.08  0.794
   1.926  0.410 10.42    4.00    8.30    2.38    0.00   10.68 9.178E+00

  10.540 39.467  6.99    5.56   10.95    3.85    0.00   14.80  0.807
   1.455  0.410 10.94    7.30   13.11    5.06    0.00   18.17 5.681E+00

  10.540 50.622  7.37   13.04   19.85   11.13    0.00   30.98  0.775
   0.957  0.410 11.49   18.26   24.63   14.60    0.00   39.23 3.073E+00

  10.540 81.612  7.78   59.22   63.62   60.12    0.00  123.74  0.660
   0.432  0.410 12.07   91.39   71.21   74.45    0.00  145.67 1.142E+00

  10.540  5.874  1.03    2.84  -12.43    3.29    0.00   -9.13  1.166
   9.274  0.432  2.23    3.65  -17.00    3.97    0.00  -13.03 2.712E+04

  10.540  6.056  1.08    2.60  -12.11    2.94    0.00   -9.17  1.139
   9.204  0.432  2.30    3.34  -16.66    3.57    0.00  -13.09 2.291E+04

  10.540  6.245  1.14    2.38  -11.96    2.63    0.00   -9.33  1.116
   9.131  0.432  2.38    3.05  -16.47    3.21    0.00  -13.26 1.936E+04

  10.540  6.441  1.20    2.16  -11.70    2.34    0.00   -9.36  1.092
   9.053  0.432  2.47    2.78  -16.17    2.87    0.00  -13.30 1.634E+04

  10.540  6.645  1.27    1.97  -11.46    2.09    0.00   -9.37  1.072
   8.972  0.432  2.55    2.54  -15.87    2.58    0.00  -13.29 1.375E+04

  10.540  6.858  1.34    1.80  -11.15    1.86    0.00   -9.29  1.050
   8.885  0.431  2.65    2.31  -15.50    2.31    0.00  -13.19 1.155E+04

  10.540  7.080  1.41    1.64  -10.81    1.66    0.00   -9.14  1.031
   8.794  0.431  2.74    2.11  -15.08    2.08    0.00  -13.00 9.655E+03

  10.540  7.311  1.49    1.50  -10.48    1.49    0.00   -8.99  1.013
   8.698  0.431  2.85    1.93  -14.66    1.87    0.00  -12.79 8.043E+03

  10.540  7.553  1.57    1.37  -10.11    1.34    0.00   -8.78  0.995
   8.597  0.431  2.95    1.77  -14.20    1.68    0.00  -12.52 6.672E+03

  10.540  7.806  1.66    1.26   -9.68    1.20    0.00   -8.48  0.979
   8.491  0.431  3.07    1.63  -13.68    1.52    0.00  -12.16 5.512E+03

  10.540  8.071  1.75    1.16   -9.31    1.08    0.00   -8.22  0.963
   8.378  0.431  3.19    1.49  -13.19    1.37    0.00  -11.82 4.542E+03

  10.540  8.349  1.84    1.06   -8.91    0.97    0.00   -7.94  0.948
   8.259  0.431  3.32    1.37  -12.70    1.24    0.00  -11.46 3.732E+03

  10.540  8.640  1.95    0.98   -8.54    0.88    0.00   -7.67  0.934
   8.134  0.431  3.45    1.26  -12.23    1.12    0.00  -11.11 3.059E+03

  10.540  8.947  2.05    0.90   -8.18    0.79    0.00   -7.39  0.920
   8.002  0.431  3.59    1.16  -11.76    1.01    0.00  -10.75 2.502E+03

  10.540  9.270  2.16    0.83   -7.81    0.71    0.00   -7.10  0.906
   7.863  0.431  3.74    1.08  -11.29    0.92    0.00  -10.38 2.042E+03

  10.540  9.612  2.28    0.77   -7.46    0.64    0.00   -6.81  0.893
   7.716  0.431  3.90    0.99  -10.84    0.83    0.00  -10.01 1.664E+03

  10.540  9.973  2.41    0.72   -7.12    0.58    0.00   -6.54  0.881
   7.561  0.431  4.06    0.92  -10.40    0.75    0.00   -9.65 1.354E+03

  10.540 10.356  2.54    0.67   -6.77    0.53    0.00   -6.25  0.869
   7.397  0.431  4.24    0.86   -9.96    0.68    0.00   -9.27 1.100E+03

  10.540 10.763  2.68    0.62   -6.44    0.48    0.00   -5.96  0.857
   7.225  0.431  4.42    0.80   -9.53    0.62    0.00   -8.91 8.914E+02

  10.540 11.196  2.83    0.59   -6.10    0.43    0.00   -5.67  0.848
   7.043  0.431  4.62    0.75   -9.09    0.57    0.00   -8.52 7.214E+02

  10.540 11.660  2.98    0.56   -5.76    0.40    0.00   -5.36  0.839
   6.851  0.431  4.82    0.71   -8.64    0.52    0.00   -8.12 5.826E+02

  10.540 12.158  3.14    0.53   -5.40    0.37    0.00   -5.04  0.830
   6.649  0.431  5.04    0.68   -8.19    0.48    0.00   -7.71 4.692E+02

  10.540 12.693  3.32    0.51   -5.04    0.34    0.00   -4.70  0.821
   6.436  0.431  5.27    0.65   -7.72    0.44    0.00   -7.28 3.767E+02

  10.540 13.273  3.50    0.50   -4.65    0.32    0.00   -4.33  0.812
   6.211  0.431  5.51    0.63   -7.22    0.41    0.00   -6.80 3.014E+02

  10.540 13.902  3.69    0.50   -4.23    0.30    0.00   -3.93  0.803
   5.973  0.430  5.76    0.62   -6.68    0.39    0.00   -6.29 2.403E+02

  10.540 14.590  3.89    0.50   -3.79    0.28    0.00   -3.51  0.795
   5.723  0.430  6.03    0.62   -6.11    0.37    0.00   -5.74 1.905E+02

  10.540 15.347  4.10    0.51   -3.32    0.28    0.00   -3.04  0.787
   5.459  0.430  6.31    0.63   -5.50    0.36    0.00   -5.14 1.502E+02

  10.540 16.185  4.33    0.54   -2.80    0.27    0.00   -2.53  0.780
   5.180  0.430  6.61    0.65   -4.83    0.36    0.00   -4.48 1.178E+02

  10.540 17.121  4.57    0.57   -2.25    0.27    0.00   -1.97  0.774
   4.887  0.430  6.92    0.69   -4.12    0.36    0.00   -3.76 9.159E+01

  10.540 18.177  4.81    0.62   -1.64    0.28    0.00   -1.35  0.768
   4.577  0.430  7.26    0.75   -3.33    0.37    0.00   -2.96 7.068E+01

  10.540 19.383  5.08    0.69   -0.96    0.30    0.00   -0.66  0.764
   4.250  0.430  7.61    0.83   -2.46    0.40    0.00   -2.06 5.401E+01

  10.540 20.781  5.36    0.79   -0.22    0.34    0.00    0.12  0.761
   3.905  0.430  7.98    0.95   -1.49    0.44    0.00   -1.05 4.080E+01

  10.540 22.431  5.65    0.94    0.63    0.39    0.00    1.02  0.761
   3.542  0.430  8.36    1.12   -0.39    0.52    0.00    0.12 3.037E+01

  10.540 24.424  5.96    1.16    1.62    0.49    0.00    2.11  0.762
   3.158  0.430  8.78    1.39    0.91    0.64    0.00    1.55 2.223E+01

  10.540 26.906  6.28    1.49    2.83    0.66    0.00    3.49  0.768
   2.754  0.430  9.21    1.80    2.48    0.87    0.00    3.35 1.588E+01

  10.540 30.129  6.63    2.06    4.38    1.00    0.00    5.39  0.778
   2.327  0.430  9.67    2.53    4.52    1.32    0.00    5.84 1.101E+01

  10.540 34.578  6.99    3.15    6.61    1.78    0.00    8.39  0.792
   1.877  0.430 10.15    3.96    7.43    2.33    0.00    9.76 7.281E+00

  10.540 41.352  7.37    5.68   10.35    3.97    0.00   14.32  0.811
   1.403  0.430 10.65    7.46   12.31    5.21    0.00   17.52 4.458E+00

  10.540 53.759  7.77   14.14   19.91   12.42    0.00   32.33  0.780
   0.902  0.430 11.19   19.90   24.55   16.26    0.00   40.81 2.358E+00

  10.540 92.230  8.21   75.54   74.71   79.04    0.00  153.76  0.652
   0.375  0.431 11.74  113.81  174.08  145.38    0.00  319.46 8.008E-01

  10.540  5.857  1.03    3.11  -13.44    4.06    0.00   -9.38  1.313
   9.331  0.453  2.12    3.98  -18.13    4.77    0.00  -13.36 2.697E+04

  10.540  6.036  1.08    2.85  -13.18    3.62    0.00   -9.56  1.278
   9.264  0.452  2.19    3.66  -17.85    4.28    0.00  -13.56 2.273E+04

  10.540  6.223  1.14    2.61  -12.92    3.23    0.00   -9.69  1.247
   9.194  0.452  2.26    3.35  -17.56    3.85    0.00  -13.71 1.917E+04

  10.540  6.417  1.20    2.38  -12.64    2.87    0.00   -9.77  1.217
   9.120  0.452  2.34    3.06  -17.25    3.44    0.00  -13.81 1.616E+04

  10.540  6.619  1.27    2.16  -12.37    2.55    0.00   -9.81  1.188
   9.042  0.452  2.42    2.78  -16.93    3.08    0.00  -13.85 1.361E+04

  10.540  6.830  1.34    1.97  -12.05    2.26    0.00   -9.79  1.160
   8.959  0.452  2.51    2.53  -16.56    2.74    0.00  -13.82 1.145E+04

  10.540  7.049  1.41    1.79  -11.74    2.01    0.00   -9.74  1.134
   8.872  0.452  2.60    2.31  -16.19    2.45    0.00  -13.74 9.594E+03

  10.540  7.277  1.49    1.63  -11.42    1.79    0.00   -9.63  1.110
   8.781  0.452  2.69    2.10  -15.79    2.19    0.00  -13.60 8.011E+03

  10.540  7.515  1.57    1.49  -11.04    1.59    0.00   -9.45  1.086
   8.684  0.451  2.79    1.92  -15.33    1.96    0.00  -13.37 6.666E+03

  10.540  7.764  1.66    1.36  -10.64    1.42    0.00   -9.22  1.064
   8.582  0.451  2.90    1.75  -14.84    1.76    0.00  -13.08 5.524E+03

  10.540  8.025  1.75    1.25  -10.25    1.26    0.00   -8.98  1.041
   8.474  0.451  3.01    1.60  -14.35    1.57    0.00  -12.78 4.561E+03

  10.540  8.297  1.84    1.14   -9.85    1.13    0.00   -8.72  1.021
   8.361  0.451  3.12    1.47  -13.85    1.42    0.00  -12.43 3.751E+03

  10.540  8.584  1.95    1.05   -9.46    1.01    0.00   -8.45  1.001
   8.241  0.451  3.25    1.35  -13.36    1.27    0.00  -12.09 3.078E+03

  10.540  8.884  2.05    0.96   -9.07    0.91    0.00   -8.16  0.982
   8.115  0.451  3.38    1.24  -12.87    1.15    0.00  -11.72 2.518E+03

  10.540  9.201  2.16    0.89   -8.69    0.81    0.00   -7.87  0.964
   7.982  0.451  3.52    1.14  -12.38    1.03    0.00  -11.35 2.056E+03

  10.540  9.534  2.28    0.82   -8.35    0.73    0.00   -7.62  0.946
   7.842  0.451  3.66    1.05  -11.94    0.93    0.00  -11.02 1.675E+03

  10.540  9.886  2.41    0.76   -7.97    0.65    0.00   -7.32  0.929
   7.693  0.451  3.81    0.97  -11.47    0.84    0.00  -10.63 1.363E+03

  10.540 10.259  2.54    0.70   -7.62    0.59    0.00   -7.03  0.912
   7.537  0.451  3.98    0.90  -11.02    0.75    0.00  -10.26 1.107E+03

  10.540 10.654  2.68    0.65   -7.29    0.53    0.00   -6.76  0.897
   7.373  0.451  4.14    0.84  -10.59    0.68    0.00   -9.91 8.972E+02

  10.540 11.074  2.83    0.61   -6.94    0.48    0.00   -6.46  0.882
   7.199  0.451  4.32    0.78  -10.14    0.62    0.00   -9.53 7.262E+02

  10.540 11.522  2.98    0.57   -6.61    0.43    0.00   -6.18  0.868
   7.016  0.451  4.51    0.73   -9.72    0.56    0.00   -9.16 5.867E+02

  10.540 12.002  3.14    0.54   -6.26    0.39    0.00   -5.87  0.854
   6.822  0.451  4.71    0.69   -9.27    0.51    0.00   -8.76 4.732E+02

  10.540 12.516  3.32    0.52   -5.91    0.36    0.00   -5.55  0.841
   6.618  0.450  4.92    0.65   -8.82    0.47    0.00   -8.35 3.806E+02

  10.540 13.070  3.50    0.50   -5.55    0.33    0.00   -5.22  0.828
   6.403  0.450  5.15    0.63   -8.35    0.43    0.00   -7.92 3.052E+02

  10.540 13.670  3.69    0.49   -5.16    0.31    0.00   -4.85  0.817
   6.176  0.450  5.38    0.61   -7.86    0.40    0.00   -7.46 2.439E+02

  10.540 14.323  3.89    0.48   -4.76    0.29    0.00   -4.47  0.806
   5.937  0.450  5.63    0.60   -7.33    0.38    0.00   -6.96 1.941E+02

  10.540 15.036  4.10    0.48   -4.32    0.27    0.00   -4.05  0.795
   5.685  0.450  5.89    0.60   -6.78    0.36    0.00   -6.42 1.537E+02

  10.540 15.822  4.33    0.50   -3.85    0.26    0.00   -3.59  0.785
   5.419  0.450  6.16    0.61   -6.18    0.34    0.00   -5.83 1.211E+02

  10.540 16.693  4.56    0.52   -3.34    0.26    0.00   -3.09  0.777
   5.138  0.450  6.45    0.63   -5.52    0.34    0.00   -5.18 9.477E+01

  10.540 17.668  4.81    0.55   -2.79    0.26    0.00   -2.53  0.770
   4.842  0.450  6.76    0.67   -4.81    0.34    0.00   -4.47 7.362E+01

  10.540 18.769  5.08    0.60   -2.19    0.27    0.00   -1.92  0.763
   4.530  0.450  7.08    0.72   -4.04    0.35    0.00   -3.68 5.670E+01

  10.540 20.030  5.36    0.67   -1.53    0.29    0.00   -1.24  0.758
   4.200  0.450  7.42    0.80   -3.17    0.38    0.00   -2.80 4.326E+01

  10.540 21.495  5.65    0.77   -0.78    0.32    0.00   -0.47  0.755
   3.853  0.450  7.78    0.92   -2.21    0.42    0.00   -1.80 3.258E+01

  10.540 23.229  5.96    0.91    0.06    0.37    0.00    0.43  0.754
   3.487  0.450  8.16    1.09   -1.12    0.49    0.00   -0.63 2.418E+01

  10.540 25.332  6.28    1.13    1.06    0.47    0.00    1.52  0.756
   3.100  0.450  8.56    1.35    0.18    0.61    0.00    0.79 1.764E+01

  10.540 27.966  6.63    1.47    2.26    0.64    0.00    2.90  0.762
   2.693  0.450  8.98    1.77    1.75    0.84    0.00    2.59 1.254E+01

  10.540 31.413  6.99    2.06    3.84    0.99    0.00    4.83  0.774
   2.263  0.450  9.42    2.52    3.81    1.30    0.00    5.10 8.630E+00

  10.540 36.228  7.37    3.21    6.10    1.82    0.00    7.92  0.794
   1.809  0.450  9.89    4.04    6.76    2.38    0.00    9.14 5.656E+00

  10.540 43.711  7.78    6.02   10.02    4.32    0.00   14.34  0.818
   1.331  0.450 10.38    7.94   11.84    5.66    0.00   17.50 3.407E+00

  10.540 58.043  8.21   16.32   20.90   14.94    0.00   35.85  0.783
   0.827  0.450 10.90   23.18   25.56   19.49    0.00   45.05 1.733E+00

  10.540113.138  8.66  113.03   99.82  122.48    0.00  222.30  0.632
   0.295  0.451 11.44  181.80  145.64  172.74    0.00  318.38 5.064E-01

  10.540  5.840  1.03    3.39  -14.65    4.99    0.00   -9.66  1.480
   9.382  0.472  2.03    4.33  -19.44    5.71    0.00  -13.72 2.690E+04

  10.540  6.019  1.08    3.13  -14.30    4.49    0.00   -9.81  1.443
   9.319  0.473  2.09    4.00  -19.07    5.17    0.00  -13.90 2.254E+04

  10.540  6.204  1.14    2.87  -14.00    3.99    0.00  -10.02  1.401
   9.251  0.472  2.16    3.67  -18.75    4.63    0.00  -14.12 1.896E+04

  10.540  6.396  1.20    2.63  -13.63    3.56    0.00  -10.07  1.367
   9.181  0.472  2.23    3.36  -18.36    4.16    0.00  -14.20 1.593E+04

  10.540  6.596  1.27    2.39  -13.32    3.15    0.00  -10.17  1.330
   9.106  0.472  2.30    3.07  -18.01    3.71    0.00  -14.31 1.341E+04

  10.540  6.804  1.34    2.18  -13.05    2.79    0.00  -10.26  1.295
   9.027  0.472  2.38    2.79  -17.69    3.30    0.00  -14.39 1.127E+04

  10.540  7.020  1.41    1.98  -12.71    2.47    0.00  -10.24  1.263
   8.944  0.472  2.46    2.54  -17.31    2.94    0.00  -14.37 9.459E+03

  10.540  7.246  1.49    1.80  -12.36    2.18    0.00  -10.18  1.231
   8.856  0.472  2.55    2.30  -16.90    2.61    0.00  -14.29 7.917E+03

  10.540  7.481  1.57    1.63  -11.99    1.93    0.00  -10.06  1.200
   8.763  0.472  2.64    2.10  -16.45    2.32    0.00  -14.13 6.605E+03

  10.540  7.727  1.66    1.49  -11.59    1.71    0.00   -9.88  1.172
   8.666  0.472  2.74    1.91  -15.98    2.07    0.00  -13.91 5.486E+03

  10.540  7.983  1.75    1.36  -11.20    1.52    0.00   -9.68  1.144
   8.563  0.472  2.84    1.74  -15.50    1.85    0.00  -13.65 4.540E+03

  10.540  8.252  1.84    1.24  -10.82    1.35    0.00   -9.47  1.116
   8.454  0.471  2.95    1.59  -15.02    1.65    0.00  -13.37 3.744E+03

  10.540  8.533  1.95    1.13  -10.39    1.20    0.00   -9.19  1.090
   8.339  0.471  3.06    1.46  -14.49    1.47    0.00  -13.02 3.076E+03

  10.540  8.828  2.05    1.04  -10.00    1.07    0.00   -8.93  1.066
   8.219  0.471  3.18    1.34  -14.00    1.32    0.00  -12.68 2.518E+03

  10.540  9.138  2.16    0.95   -9.58    0.95    0.00   -8.63  1.041
   8.091  0.471  3.31    1.23  -13.48    1.18    0.00  -12.30 2.057E+03

  10.540  9.465  2.28    0.87   -9.19    0.85    0.00   -8.35  1.018
   7.957  0.471  3.44    1.13  -13.00    1.06    0.00  -11.94 1.676E+03

  10.540  9.809  2.41    0.81   -8.83    0.76    0.00   -8.07  0.996
   7.815  0.471  3.59    1.04  -12.53    0.95    0.00  -11.58 1.364E+03

  10.540 10.172  2.54    0.74   -8.46    0.67    0.00   -7.78  0.974
   7.665  0.471  3.74    0.95  -12.06    0.85    0.00  -11.21 1.108E+03

  10.540 10.557  2.68    0.69   -8.11    0.60    0.00   -7.51  0.954
   7.508  0.471  3.89    0.88  -11.62    0.76    0.00  -10.86 8.975E+02

  10.540 10.966  2.83    0.64   -7.75    0.54    0.00   -7.21  0.934
   7.341  0.471  4.06    0.82  -11.16    0.69    0.00  -10.47 7.266E+02

  10.540 11.400  2.98    0.60   -7.43    0.48    0.00   -6.94  0.915
   7.166  0.471  4.23    0.76  -10.74    0.62    0.00  -10.13 5.870E+02

  10.540 11.864  3.14    0.56   -7.08    0.44    0.00   -6.64  0.897
   6.981  0.471  4.42    0.71  -10.30    0.56    0.00   -9.74 4.734E+02

  10.540 12.360  3.32    0.53   -6.75    0.39    0.00   -6.35  0.880
   6.786  0.471  4.61    0.67   -9.87    0.51    0.00   -9.37 3.809E+02

  10.540 12.893  3.50    0.50   -6.39    0.36    0.00   -6.04  0.864
   6.580  0.471  4.81    0.64   -9.42    0.46    0.00   -8.96 3.059E+02

  10.540 13.468  3.69    0.48   -6.03    0.33    0.00   -5.70  0.847
   6.362  0.470  5.03    0.61   -8.95    0.42    0.00   -8.53 2.450E+02

  10.540 14.091  3.89    0.47   -5.65    0.30    0.00   -5.35  0.832
   6.133  0.470  5.26    0.59   -8.46    0.39    0.00   -8.07 1.955E+02

  10.540 14.769  4.10    0.47   -5.25    0.28    0.00   -4.97  0.818
   5.892  0.470  5.50    0.58   -7.95    0.36    0.00   -7.59 1.553E+02

  10.540 15.511  4.33    0.47   -4.82    0.27    0.00   -4.55  0.805
   5.637  0.470  5.75    0.58   -7.40    0.35    0.00   -7.05 1.228E+02

  10.540 16.329  4.56    0.48   -4.35    0.25    0.00   -4.10  0.792
   5.368  0.470  6.02    0.59   -6.80    0.33    0.00   -6.47 9.660E+01

  10.540 17.237  4.81    0.50   -3.85    0.25    0.00   -3.60  0.781
   5.085  0.470  6.30    0.61   -6.16    0.32    0.00   -5.83 7.545E+01

  10.540 18.256  5.08    0.54   -3.30    0.25    0.00   -3.06  0.771
   4.786  0.470  6.60    0.64   -5.45    0.33    0.00   -5.13 5.851E+01

  10.540 19.410  5.36    0.58   -2.71    0.26    0.00   -2.45  0.762
   4.471  0.470  6.91    0.70   -4.69    0.34    0.00   -4.35 4.496E+01

  10.540 20.733  5.65    0.65   -2.04    0.27    0.00   -1.77  0.755
   4.138  0.470  7.25    0.78   -3.83    0.36    0.00   -3.47 3.421E+01

  10.540 22.276  5.96    0.76   -1.30    0.30    0.00   -1.00  0.751
   3.787  0.470  7.59    0.90   -2.87    0.40    0.00   -2.47 2.570E+01

  10.540 24.111  6.28    0.90   -0.45    0.36    0.00   -0.09  0.749
   3.417  0.470  7.96    1.07   -1.76    0.47    0.00   -1.29 1.901E+01

  10.540 26.347  6.63    1.12    0.55    0.45    0.00    1.01  0.751
   3.027  0.470  8.35    1.34   -0.46    0.59    0.00    0.13 1.379E+01

  10.540 29.168  6.99    1.48    1.79    0.63    0.00    2.42  0.758
   2.615  0.470  8.76    1.78    1.14    0.83    0.00    1.97 9.755E+00

  10.540 32.899  7.37    2.10    3.39    1.00    0.00    4.40  0.772
   2.181  0.470  9.19    2.57    3.23    1.31    0.00    4.55 6.655E+00

  10.540 38.195  7.78    3.37    5.73    1.93    0.00    7.66  0.796
   1.723  0.470  9.65    4.24    6.27    2.53    0.00    8.79 4.303E+00

  10.540 46.665  8.20    6.67    9.98    4.99    0.00   14.97  0.827
   1.240  0.470 10.13    8.84   11.72    6.52    0.00   18.24 2.537E+00

  10.540 63.993  8.65   20.50   23.63   19.82    0.00   43.45  0.781
   0.731  0.470 10.63   29.54   28.45   25.70    0.00   54.14 1.224E+00

  10.540  5.826  1.03    3.68  -16.20    6.14    0.00  -10.06  1.674
   9.430  0.493  1.94    4.70  -21.07    6.86    0.00  -14.21 2.689E+04

  10.540  6.003  1.08    3.42  -15.70    5.53    0.00  -10.17  1.627
   9.369  0.493  1.99    4.36  -20.56    6.23    0.00  -14.33 2.242E+04

  10.540  6.186  1.14    3.15  -15.17    4.94    0.00  -10.23  1.579
   9.304  0.492  2.06    4.02  -20.02    5.60    0.00  -14.42 1.875E+04

  10.540  6.377  1.20    2.89  -14.86    4.40    0.00  -10.45  1.535
   9.236  0.492  2.12    3.69  -19.68    5.02    0.00  -14.65 1.572E+04

  10.540  6.575  1.27    2.65  -14.39    3.93    0.00  -10.46  1.496
   9.165  0.492  2.19    3.38  -19.19    4.50    0.00  -14.68 1.317E+04

  10.540  6.781  1.34    2.41  -14.06    3.47    0.00  -10.60  1.453
   9.089  0.492  2.26    3.08  -18.83    4.00    0.00  -14.82 1.106E+04

  10.540  6.995  1.41    2.19  -13.66    3.06    0.00  -10.60  1.413
   9.009  0.492  2.34    2.80  -18.39    3.55    0.00  -14.84 9.279E+03

  10.540  7.218  1.49    1.98  -13.35    2.70    0.00  -10.65  1.375
   8.925  0.492  2.42    2.54  -18.02    3.15    0.00  -14.87 7.772E+03

  10.540  7.450  1.57    1.80  -12.98    2.37    0.00  -10.61  1.338
   8.836  0.492  2.51    2.31  -17.60    2.79    0.00  -14.81 6.494E+03

  10.540  7.692  1.66    1.63  -12.57    2.09    0.00  -10.47  1.301
   8.742  0.492  2.60    2.09  -17.12    2.47    0.00  -14.64 5.409E+03

  10.540  7.946  1.75    1.49  -12.19    1.85    0.00  -10.34  1.268
   8.644  0.492  2.69    1.91  -16.66    2.20    0.00  -14.46 4.484E+03

  10.540  8.210  1.84    1.35  -11.79    1.63    0.00  -10.16  1.233
   8.539  0.491  2.79    1.73  -16.17    1.95    0.00  -14.22 3.708E+03

  10.540  8.487  1.95    1.23  -11.35    1.45    0.00   -9.91  1.202
   8.430  0.491  2.89    1.58  -15.65    1.74    0.00  -13.91 3.051E+03

  10.540  8.777  2.05    1.13  -10.93    1.28    0.00   -9.65  1.171
   8.314  0.491  3.01    1.45  -15.13    1.55    0.00  -13.58 2.503E+03

  10.540  9.082  2.16    1.03  -10.48    1.13    0.00   -9.35  1.140
   8.191  0.491  3.12    1.32  -14.58    1.38    0.00  -13.20 2.046E+03

  10.540  9.402  2.28    0.94  -10.07    1.00    0.00   -9.07  1.111
   8.062  0.491  3.25    1.21  -14.07    1.23    0.00  -12.84 1.669E+03

  10.540  9.740  2.41    0.87   -9.68    0.89    0.00   -8.79  1.083
   7.926  0.491  3.38    1.11  -13.58    1.09    0.00  -12.48 1.357E+03

  10.540 10.095  2.54    0.80   -9.30    0.79    0.00   -8.51  1.056
   7.783  0.491  3.51    1.02  -13.10    0.98    0.00  -12.12 1.102E+03

  10.540 10.471  2.68    0.73   -8.93    0.70    0.00   -8.23  1.030
   7.632  0.491  3.66    0.94  -12.64    0.87    0.00  -11.76 8.928E+02

