 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5400   5.8620   7.7957   0.1301   1.1420  0.45248E+04  0.45229E+04  0.19037E+01  0.52697E+04  0.39057E+01  0.10226E+03  0.51635E+04  0.99995E+00
   10.5400   5.6060   8.1879   0.1301   1.2046  0.35597E+04  0.35584E+04  0.13263E+01  0.41975E+04  0.35836E+01  0.83086E+02  0.41108E+04  0.99996E+00
   10.5400   5.3350   8.6203   0.1301   1.2704  0.27754E+04  0.27745E+04  0.91632E+00  0.33193E+04  0.32955E+01  0.68032E+02  0.32480E+04  0.99998E+00
   10.5400   5.0500   9.1006   0.1301   1.3400  0.21436E+04  0.21430E+04  0.62803E+00  0.26052E+04  0.30258E+01  0.56207E+02  0.25460E+04  0.10000E+01
   10.5400   4.7490   9.6391   0.1301   1.4133  0.16377E+04  0.16372E+04  0.42637E+00  0.20278E+04  0.27813E+01  0.46882E+02  0.19781E+04  0.10000E+01
   10.5400   4.4320  10.2492   0.1301   1.4908  0.12362E+04  0.12359E+04  0.28653E+00  0.15643E+04  0.25550E+01  0.39548E+02  0.15222E+04  0.10000E+01
   10.5400   4.0970  10.9495   0.1300   1.5723  0.92022E+03  0.92003E+03  0.19026E+00  0.11951E+04  0.23525E+01  0.33844E+02  0.11589E+04  0.10001E+01
   10.5400   3.7440  11.7661   0.1300   1.6583  0.67407E+03  0.67394E+03  0.12462E+00  0.90349E+03  0.21666E+01  0.29405E+02  0.87191E+03  0.10001E+01
   10.5400   3.3720  12.7374   0.1300   1.7493  0.48436E+03  0.48428E+03  0.80299E-01  0.67524E+03  0.19965E+01  0.25986E+02  0.64726E+03  0.10001E+01
   10.5400   2.9790  13.9224   0.1300   1.8448  0.33987E+03  0.33982E+03  0.50688E-01  0.49857E+03  0.18473E+01  0.23471E+02  0.47325E+03  0.10002E+01
   10.5400   2.5650  15.4182   0.1300   1.9459  0.23134E+03  0.23130E+03  0.31148E-01  0.36330E+03  0.17123E+01  0.21723E+02  0.33987E+03  0.10002E+01
   10.5400   2.1280  17.3984   0.1300   2.0523  0.15104E+03  0.15102E+03  0.18437E-01  0.26106E+03  0.15971E+01  0.20706E+02  0.23876E+03  0.10002E+01
   10.5400   1.6670  20.2141   0.1300   2.1644  0.92713E+02  0.92703E+02  0.10308E-01  0.18472E+03  0.15038E+01  0.20421E+02  0.16279E+03  0.10002E+01
   10.5400   1.1810  24.7272   0.1300   2.2827  0.51246E+02  0.51241E+02  0.52164E-02  0.12777E+03  0.14427E+01  0.20880E+02  0.10545E+03  0.10001E+01
   10.5400   0.6690  33.9881   0.1301   2.4094  0.22545E+02  0.22543E+02  0.21100E-02  0.80639E+02  0.16010E+01  0.21587E+02  0.57451E+02  0.99981E+00
   10.5400   0.1280  86.6338   0.1300   2.5398  0.33497E+01  0.33494E+01  0.29062E-03  0.41839E+02  0.20115E+02  0.99629E+01  0.11761E+02  0.99691E+00
   10.5400   6.8970   6.8128   0.1502   1.0266  0.96402E+04  0.96334E+04  0.68283E+01  0.10506E+05  0.20595E+01  0.18407E+03  0.10320E+05  0.10000E+01
   10.5400   6.6980   7.1007   0.1502   1.0829  0.78287E+04  0.78238E+04  0.48898E+01  0.85898E+04  0.18785E+01  0.14587E+03  0.84421E+04  0.10000E+01
   10.5400   6.4870   7.4103   0.1502   1.1421  0.63208E+04  0.63173E+04  0.34778E+01  0.69886E+04  0.17190E+01  0.11594E+03  0.68709E+04  0.10001E+01
   10.5400   6.2650   7.7447   0.1502   1.2047  0.50728E+04  0.50703E+04  0.24581E+01  0.56563E+04  0.15707E+01  0.92492E+02  0.55623E+04  0.10001E+01
   10.5400   6.0300   8.1075   0.1501   1.2705  0.40436E+04  0.40419E+04  0.17249E+01  0.45519E+04  0.14387E+01  0.74159E+02  0.44763E+04  0.10001E+01
   10.5400   5.7830   8.5033   0.1501   1.3401  0.32004E+04  0.31992E+04  0.12022E+01  0.36408E+04  0.13147E+01  0.59789E+02  0.35797E+04  0.10001E+01
   10.5400   5.5220   8.9375   0.1501   1.4133  0.25131E+04  0.25123E+04  0.83130E+00  0.28930E+04  0.12035E+01  0.48557E+02  0.28432E+04  0.10001E+01
   10.5400   5.2470   9.4174   0.1501   1.4907  0.19564E+04  0.19558E+04  0.57016E+00  0.22823E+04  0.11008E+01  0.39773E+02  0.22415E+04  0.10002E+01
   10.5400   4.9570   9.9519   0.1501   1.5723  0.15086E+04  0.15082E+04  0.38759E+00  0.17867E+04  0.10072E+01  0.32884E+02  0.17528E+04  0.10002E+01
   10.5400   4.6510  10.5531   0.1501   1.6583  0.11509E+04  0.11507E+04  0.26088E+00  0.13870E+04  0.92210E+00  0.27492E+02  0.13586E+04  0.10002E+01
   10.5400   4.3290  11.2369   0.1501   1.7494  0.86772E+03  0.86754E+03  0.17370E+00  0.10670E+04  0.84292E+00  0.23287E+02  0.10429E+04  0.10002E+01
   10.5400   3.9880  12.0254   0.1500   1.8448  0.64517E+03  0.64505E+03  0.11420E+00  0.81278E+03  0.77430E+00  0.20037E+02  0.79197E+03  0.10003E+01
   10.5400   3.6290  12.9503   0.1500   1.9458  0.47209E+03  0.47202E+03  0.73993E-01  0.61244E+03  0.71078E+00  0.17550E+02  0.59418E+03  0.10003E+01
   10.5400   3.2510  14.0586   0.1501   2.0527  0.33886E+03  0.33881E+03  0.47096E-01  0.45601E+03  0.65217E+00  0.15672E+02  0.43968E+03  0.10004E+01
   10.5400   2.8510  15.4240   0.1500   2.1645  0.23741E+03  0.23738E+03  0.29321E-01  0.33526E+03  0.60270E+00  0.14372E+02  0.32029E+03  0.10004E+01
   10.5400   2.4300  17.1709   0.1500   2.2832  0.16118E+03  0.16116E+03  0.17717E-01  0.24303E+03  0.55737E+00  0.13557E+02  0.22892E+03  0.10005E+01
   10.5400   1.9860  19.5292   0.1500   2.4084  0.10467E+03  0.10466E+03  0.10259E-01  0.17349E+03  0.51839E+00  0.13245E+02  0.15972E+03  0.10006E+01
   10.5400   1.5170  22.9885   0.1500   2.5396  0.63454E+02  0.63449E+02  0.55587E-02  0.12179E+03  0.48953E+00  0.13504E+02  0.10779E+03  0.10007E+01
   10.5400   1.0230  28.8638   0.1500   2.6790  0.33922E+02  0.33920E+02  0.26587E-02  0.83269E+02  0.47386E+00  0.14375E+02  0.68420E+02  0.10009E+01
   10.5400   0.5020  42.8753   0.1501   2.8272  0.13193E+02  0.13192E+02  0.92536E-03  0.49924E+02  0.67978E+00  0.15216E+02  0.34028E+02  0.10016E+01
   10.5400   7.3270   6.6099   0.1703   1.0267  0.12024E+05  0.12014E+05  0.10343E+02  0.12676E+05  0.89342E+00  0.21453E+03  0.12460E+05  0.10001E+01
   10.5400   7.1510   6.8719   0.1703   1.0829  0.98655E+04  0.98580E+04  0.74963E+01  0.10453E+05  0.81092E+00  0.16858E+03  0.10283E+05  0.10001E+01
   10.5400   6.9650   7.1514   0.1703   1.1422  0.80595E+04  0.80541E+04  0.53996E+01  0.85879E+04  0.73725E+00  0.13267E+03  0.84545E+04  0.10002E+01
   10.5400   6.7690   7.4505   0.1702   1.2047  0.65536E+04  0.65498E+04  0.38656E+01  0.70270E+04  0.67019E+00  0.10458E+03  0.69218E+04  0.10002E+01
   10.5400   6.5620   7.7718   0.1702   1.2706  0.53012E+04  0.52984E+04  0.27492E+01  0.57238E+04  0.60985E+00  0.82663E+02  0.56405E+04  0.10002E+01
   10.5400   6.3440   8.1183   0.1702   1.3402  0.42640E+04  0.42621E+04  0.19424E+01  0.46394E+04  0.55445E+00  0.65575E+02  0.45732E+04  0.10002E+01
   10.5400   6.1140   8.4936   0.1702   1.4135  0.34085E+04  0.34072E+04  0.13627E+01  0.37404E+04  0.50432E+00  0.52263E+02  0.36876E+04  0.10003E+01
   10.5400   5.8710   8.9022   0.1702   1.4908  0.27061E+04  0.27052E+04  0.94891E+00  0.29979E+04  0.45939E+00  0.41898E+02  0.29555E+04  0.10003E+01
   10.5400   5.6150   9.3496   0.1701   1.5724  0.21328E+04  0.21322E+04  0.65570E+00  0.23876E+04  0.41816E+00  0.33825E+02  0.23534E+04  0.10003E+01
   10.5400   5.3450   9.8427   0.1701   1.6585  0.16675E+04  0.16671E+04  0.44937E+00  0.18888E+04  0.38073E+00  0.27547E+02  0.18608E+04  0.10003E+01
   10.5400   5.0600  10.3904   0.1701   1.7491  0.12922E+04  0.12919E+04  0.30523E+00  0.14831E+04  0.34702E+00  0.22645E+02  0.14601E+04  0.10004E+01
   10.5400   4.7600  11.0043   0.1701   1.8450  0.99163E+03  0.99143E+03  0.20533E+00  0.11553E+04  0.31577E+00  0.18817E+02  0.11361E+04  0.10004E+01
   10.5400   4.4430  11.6997   0.1701   1.9459  0.75265E+03  0.75252E+03  0.13665E+00  0.89206E+03  0.28805E+00  0.15861E+02  0.87592E+03  0.10004E+01
   10.5400   4.1090  12.4976   0.1701   2.0524  0.56422E+03  0.56413E+03  0.89849E-01  0.68231E+03  0.26268E+00  0.13565E+02  0.66848E+03  0.10005E+01
   10.5400   3.7570  13.4276   0.1701   2.1649  0.41692E+03  0.41686E+03  0.58257E-01  0.51644E+03  0.23955E+00  0.11818E+02  0.50438E+03  0.10005E+01
   10.5400   3.3850  14.5332   0.1700   2.2832  0.30281E+03  0.30278E+03  0.37154E-01  0.38642E+03  0.21940E+00  0.10519E+02  0.37568E+03  0.10006E+01
   10.5400   2.9930  15.8812   0.1700   2.4082  0.21534E+03  0.21532E+03  0.23211E-01  0.28544E+03  0.20117E+00  0.96035E+01  0.27563E+03  0.10007E+01
   10.5400   2.5800  17.5813   0.1701   2.5404  0.14902E+03  0.14900E+03  0.14114E-01  0.20784E+03  0.18469E+00  0.90340E+01  0.19862E+03  0.10008E+01
   10.5400   2.1440  19.8289   0.1701   2.6797  0.99319E+02  0.99310E+02  0.82695E-02  0.14900E+03  0.17075E+00  0.88231E+01  0.14000E+03  0.10009E+01
   10.5400   1.6840  23.0183   0.1701   2.8264  0.62560E+02  0.62556E+02  0.45796E-02  0.10498E+03  0.15948E+00  0.90143E+01  0.95806E+02  0.10012E+01
   10.5400   1.1980  28.1120   0.1699   2.9792  0.35754E+02  0.35752E+02  0.23031E-02  0.72484E+02  0.15326E+00  0.97274E+01  0.62604E+02  0.10016E+01
   10.5400   0.6870  38.4765   0.1701   3.1446  0.16477E+02  0.16476E+02  0.93033E-03  0.47301E+02  0.16177E+00  0.10956E+02  0.36184E+02  0.10027E+01
   10.5400   0.1470  93.9802   0.1699   3.3139  0.28261E+01  0.28260E+01  0.14002E-03  0.18545E+02  0.17220E+01  0.75468E+01  0.92758E+01  0.10130E+01
   10.5400   7.6660   6.4620   0.1904   1.0267  0.14272E+05  0.14259E+05  0.13597E+02  0.14652E+05  0.37819E+00  0.24778E+03  0.14404E+05  0.10002E+01
   10.5400   7.5080   6.7061   0.1903   1.0828  0.11780E+05  0.11770E+05  0.99853E+01  0.12145E+05  0.34154E+00  0.19374E+03  0.11951E+05  0.10002E+01
   10.5400   7.3420   6.9650   0.1903   1.1421  0.96956E+04  0.96884E+04  0.72890E+01  0.10041E+05  0.30788E+00  0.15152E+03  0.98893E+04  0.10003E+01
   10.5400   7.1660   7.2405   0.1902   1.2046  0.79500E+04  0.79447E+04  0.52854E+01  0.82744E+04  0.27858E+00  0.11853E+03  0.81556E+04  0.10003E+01
   10.5400   6.9810   7.5343   0.1902   1.2705  0.64939E+04  0.64901E+04  0.38085E+01  0.67954E+04  0.25158E+00  0.92820E+02  0.67024E+04  0.10003E+01
   10.5400   6.7860   7.8487   0.1902   1.3401  0.52810E+04  0.52783E+04  0.27262E+01  0.55590E+04  0.22720E+00  0.72817E+02  0.54859E+04  0.10003E+01
   10.5400   6.5800   8.1863   0.1902   1.4134  0.42733E+04  0.42714E+04  0.19380E+01  0.45278E+04  0.20552E+00  0.57297E+02  0.44703E+04  0.10004E+01
   10.5400   6.3630   8.5502   0.1902   1.4907  0.34395E+04  0.34381E+04  0.13682E+01  0.36706E+04  0.18579E+00  0.45275E+02  0.36251E+04  0.10004E+01
   10.5400   6.1340   8.9443   0.1902   1.5724  0.27518E+04  0.27508E+04  0.95879E+00  0.29601E+04  0.16804E+00  0.35924E+02  0.29240E+04  0.10004E+01
   10.5400   5.8930   9.3731   0.1902   1.6586  0.21876E+04  0.21869E+04  0.66683E+00  0.23738E+04  0.15175E+00  0.28659E+02  0.23450E+04  0.10004E+01
   10.5400   5.6380   9.8424   0.1902   1.7493  0.17267E+04  0.17262E+04  0.46006E+00  0.18920E+04  0.13748E+00  0.23038E+02  0.18689E+04  0.10005E+01
   10.5400   5.3690  10.3594   0.1901   1.8449  0.13524E+04  0.13521E+04  0.31474E+00  0.14980E+04  0.12460E+00  0.18689E+02  0.14792E+04  0.10005E+01
   10.5400   5.0860  10.9333   0.1901   1.9461  0.10504E+04  0.10502E+04  0.21336E+00  0.11775E+04  0.11266E+00  0.15300E+02  0.11621E+04  0.10005E+01
   10.5400   4.7870  11.5759   0.1901   2.0525  0.80824E+03  0.80810E+03  0.14324E+00  0.91840E+03  0.10212E+00  0.12680E+02  0.90562E+03  0.10006E+01
   10.5400   4.4720  12.3031   0.1901   2.1650  0.61549E+03  0.61540E+03  0.95125E-01  0.71022E+03  0.92489E-01  0.10662E+02  0.69947E+03  0.10006E+01
   10.5400   4.1390  13.1367   0.1901   2.2833  0.46318E+03  0.46311E+03  0.62420E-01  0.54411E+03  0.84067E-01  0.91103E+01  0.53492E+03  0.10007E+01
   10.5400   3.7880  14.1068   0.1901   2.4081  0.34386E+03  0.34382E+03  0.40397E-01  0.41260E+03  0.76468E-01  0.79374E+01  0.40458E+03  0.10007E+01
   10.5400   3.4180  15.2581   0.1900   2.5398  0.25118E+03  0.25115E+03  0.25716E-01  0.30927E+03  0.69610E-01  0.70655E+01  0.30214E+03  0.10008E+01
   10.5400   3.0280  16.6585   0.1900   2.6789  0.17986E+03  0.17984E+03  0.16040E-01  0.22882E+03  0.63452E-01  0.64659E+01  0.22229E+03  0.10009E+01
   10.5400   2.6170  18.4191   0.1901   2.8261  0.12551E+03  0.12550E+03  0.97419E-02  0.16680E+03  0.57922E-01  0.61101E+01  0.16063E+03  0.10011E+01
   10.5400   2.1830  20.7361   0.1901   2.9810  0.84549E+02  0.84543E+02  0.57087E-02  0.11958E+03  0.53304E-01  0.60153E+01  0.11351E+03  0.10013E+01
   10.5400   1.7250  24.0009   0.1901   3.1440  0.54009E+02  0.54005E+02  0.31693E-02  0.84234E+02  0.49630E-01  0.62485E+01  0.77935E+02  0.10016E+01
   10.5400   1.2420  29.1501   0.1900   3.3160  0.31498E+02  0.31496E+02  0.16037E-02  0.58039E+02  0.47245E-01  0.68360E+01  0.51156E+02  0.10023E+01
   10.5400   0.7330  39.3274   0.1901   3.4992  0.15089E+02  0.15089E+02  0.66400E-03  0.38450E+02  0.48613E-01  0.79744E+01  0.30427E+02  0.10040E+01
   10.5400   0.1950  84.0121   0.1897   3.6818  0.32589E+01  0.32588E+01  0.12446E-03  0.16089E+02  0.11347E+00  0.67195E+01  0.92561E+01  0.10156E+01
   10.5400   7.9400   6.3492   0.2104   1.0266  0.16408E+05  0.16392E+05  0.15538E+02  0.16463E+05  0.15805E+00  0.28284E+03  0.16180E+05  0.10003E+01
   10.5400   7.7980   6.5803   0.2105   1.0829  0.13592E+05  0.13580E+05  0.11594E+02  0.13690E+05  0.14094E+00  0.22057E+03  0.13469E+05  0.10003E+01
   10.5400   7.6470   6.8244   0.2104   1.1421  0.11229E+05  0.11221E+05  0.85957E+01  0.11357E+05  0.12654E+00  0.17182E+03  0.11185E+05  0.10003E+01
   10.5400   7.4880   7.0829   0.2103   1.2046  0.92535E+04  0.92471E+04  0.63281E+01  0.93992E+04  0.11359E+00  0.13377E+03  0.92653E+04  0.10004E+01
   10.5400   7.3210   7.3572   0.2103   1.2706  0.76047E+04  0.76000E+04  0.46261E+01  0.77590E+04  0.10172E+00  0.10414E+03  0.76548E+04  0.10004E+01
   10.5400   7.1440   7.6491   0.2103   1.3400  0.62282E+04  0.62248E+04  0.33590E+01  0.63858E+04  0.91484E-01  0.81124E+02  0.63045E+04  0.10004E+01
   10.5400   6.9580   7.9606   0.2103   1.4134  0.50821E+04  0.50797E+04  0.24215E+01  0.52379E+04  0.82086E-01  0.63244E+02  0.51746E+04  0.10005E+01
   10.5400   6.7620   8.2940   0.2103   1.4909  0.41294E+04  0.41277E+04  0.17332E+01  0.42804E+04  0.73649E-01  0.49382E+02  0.42309E+04  0.10005E+01
   10.5400   6.5540   8.6522   0.2102   1.5723  0.33389E+04  0.33376E+04  0.12319E+01  0.34831E+04  0.66458E-01  0.38696E+02  0.34443E+04  0.10005E+01
   10.5400   6.3360   9.0386   0.2102   1.6585  0.26858E+04  0.26849E+04  0.86875E+00  0.28211E+04  0.59651E-01  0.30422E+02  0.27906E+04  0.10005E+01
   10.5400   6.1050   9.4572   0.2102   1.7491  0.21478E+04  0.21472E+04  0.60813E+00  0.22734E+04  0.53801E-01  0.24054E+02  0.22493E+04  0.10006E+01
   10.5400   5.8620   9.9130   0.2102   1.8449  0.17070E+04  0.17065E+04  0.42227E+00  0.18219E+04  0.48418E-01  0.19135E+02  0.18027E+04  0.10006E+01
   10.5400   5.6060  10.4122   0.2102   1.9460  0.13473E+04  0.13470E+04  0.29075E+00  0.14513E+04  0.43545E-01  0.15340E+02  0.14359E+04  0.10006E+01
