                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5400   2.9790  13.9224  0.14910E+03  0.20375E+03  0.10608E+01  0.19479E+03  0.21383E+03  0.10633E+01  0.20314E+03
   10.5400   2.5650  15.4182  0.10151E+03  0.14668E+03  0.98535E+00  0.13838E+03  0.15523E+03  0.98838E+00  0.14533E+03
   10.5400   2.1280  17.3984  0.66300E+02  0.10374E+03  0.92175E+00  0.95836E+02  0.11101E+03  0.92528E+00  0.10157E+03
   10.5400   1.6670  20.2141  0.40712E+02  0.71833E+02  0.87293E+00  0.64068E+02  0.78030E+02  0.87749E+00  0.68745E+02
   10.5400   1.1810  24.7272  0.22515E+02  0.48267E+02  0.85088E+00  0.40358E+02  0.53525E+02  0.85966E+00  0.44044E+02
   10.5400   0.6690  33.9881  0.99118E+01  0.29458E+02  0.88189E+00  0.21254E+02  0.33560E+02  0.89086E+00  0.23681E+02
   10.5400   0.1280  86.6338  0.14732E+01  0.13684E+02  0.63334E+01  0.42345E+01  0.18699E+02  0.95069E+01  0.48672E+01
   10.5400   6.8970   6.8128  0.42251E+04  0.45653E+04  0.14528E+01  0.45009E+04  0.46006E+04  0.14437E+01  0.45238E+04
   10.5400   6.6980   7.1007  0.34324E+04  0.37278E+04  0.13282E+01  0.36767E+04  0.37603E+04  0.13207E+01  0.36992E+04
   10.5400   6.4870   7.4103  0.27722E+04  0.30285E+04  0.12172E+01  0.29878E+04  0.30582E+04  0.12111E+01  0.30095E+04
   10.5400   6.2650   7.7447  0.22255E+04  0.24471E+04  0.11144E+01  0.24146E+04  0.24741E+04  0.11095E+01  0.24352E+04
   10.5400   6.0300   8.1075  0.17744E+04  0.19656E+04  0.10221E+01  0.19394E+04  0.19899E+04  0.10183E+01  0.19586E+04
   10.5400   5.7830   8.5033  0.14048E+04  0.15689E+04  0.93589E+00  0.15477E+04  0.15907E+04  0.93295E+00  0.15653E+04
   10.5400   5.5220   8.9375  0.11034E+04  0.12436E+04  0.85806E+00  0.12263E+04  0.12631E+04  0.85590E+00  0.12423E+04
   10.5400   5.2470   9.4174  0.85915E+03  0.97843E+03  0.78631E+00  0.96422E+03  0.99561E+03  0.78484E+00  0.97855E+03
   10.5400   4.9570   9.9519  0.66265E+03  0.76359E+03  0.72081E+00  0.75178E+03  0.77866E+03  0.71991E+00  0.76448E+03
   10.5400   4.6510  10.5531  0.50566E+03  0.59068E+03  0.66117E+00  0.58075E+03  0.60382E+03  0.66076E+00  0.59191E+03
   10.5400   4.3290  11.2369  0.38132E+03  0.45255E+03  0.60590E+00  0.44410E+03  0.46393E+03  0.60591E+00  0.45379E+03
   10.5400   3.9880  12.0254  0.28358E+03  0.34305E+03  0.55748E+00  0.33574E+03  0.35287E+03  0.55785E+00  0.34410E+03
   10.5400   3.6290  12.9503  0.20756E+03  0.25700E+03  0.51289E+00  0.25057E+03  0.26542E+03  0.51356E+00  0.25772E+03
   10.5400   3.2510  14.0586  0.14902E+03  0.19001E+03  0.47199E+00  0.18425E+03  0.19721E+03  0.47292E+00  0.19032E+03
   10.5400   2.8510  15.4240  0.10444E+03  0.13843E+03  0.43714E+00  0.13314E+03  0.14459E+03  0.43828E+00  0.13826E+03
